image_name,original_w,original_h,resized_w,resized_h,patch_size,grid_total,retained_total_excl_cls,retained_ratio_percent,per_scale_selected_json
Frieren.jpg,1920,1080,1316,728,14,4888,3493,71.4607,"{""14"": 3184, ""56"": 39, ""28"": 270, ""0"": 7216}"
LayerViT-full.drawio.png,16384,10470,1232,784,14,4928,488,9.9026,"{""14"": 176, ""56"": 292, ""28"": 20, ""0"": 14352}"
apt.jpg,1536,672,1512,644,14,4968,2877,57.9106,"{""14"": 2536, ""56"": 89, ""28"": 252, ""0"": 8824}"
bda105088cd89bf80e14c29c64218822.jpeg,4096,4096,980,980,14,4900,895,18.2653,"{""14"": 496, ""56"": 234, ""28"": 165, ""0"": 13048}"
ss.jpg,3120,2080,1204,812,14,4988,542,10.8661,"{""14"": 188, ""56"": 282, ""28"": 72, ""0"": 14300}"
test.jpeg,826,970,840,980,14,4200,2085,49.6429,"{""14"": 1908, ""56"": 132, ""28"": 45, ""0"": 8604}"
微信图片_20250924072509_19_243.jpg,3072,4096,840,1148,14,4920,2748,55.8537,"{""14"": 2552, ""56"": 132, ""28"": 64, ""0"": 9400}"
微信图片_20250924100101_114_87.jpg,4096,3072,1148,840,14,4920,3747,76.1585,"{""14"": 3532, ""56"": 44, ""28"": 171, ""0"": 7012}"
微信图片_20251003145139_158_87.jpg,1080,1441,840,1148,14,4920,2601,52.8659,"{""14"": 2280, ""56"": 113, ""28"": 208, ""0"": 9368}"
Frieren.jpg,1920,1080,1316,728,14,4888,1831,37.4591,"{""14"": 1352, ""56"": 135, ""28"": 344, ""0"": 10584}"
LayerViT-full.drawio.png,16384,10470,1232,784,14,4928,1331,27.0089,"{""14"": 988, ""56"": 214, ""28"": 129, ""0"": 12292}"
apt.jpg,1536,672,1512,644,14,4968,2001,40.2778,"{""14"": 1620, ""56"": 152, ""28"": 229, ""0"": 10748}"
bda105088cd89bf80e14c29c64218822.jpeg,4096,4096,980,980,14,4900,2017,41.1633,"{""14"": 1728, ""56"": 168, ""28"": 121, ""0"": 10760}"
ss.jpg,3120,2080,1204,812,14,4988,1958,39.2542,"{""14"": 1620, ""56"": 168, ""28"": 170, ""0"": 11044}"
test.jpeg,826,970,840,980,14,4200,2073,49.3571,"{""14"": 1892, ""56"": 132, ""28"": 49, ""0"": 8620}"
微信图片_20250924072509_19_243.jpg,3072,4096,840,1148,14,4920,2523,51.2805,"{""14"": 2316, ""56"": 148, ""28"": 59, ""0"": 9892}"
微信图片_20250924100101_114_87.jpg,4096,3072,1148,840,14,4920,2169,44.0854,"{""14"": 1792, ""56"": 135, ""28"": 242, ""0"": 10208}"
微信图片_20251003145139_158_87.jpg,1080,1441,840,1148,14,4920,2343,47.622,"{""14"": 1996, ""56"": 128, ""28"": 219, ""0"": 9892}"
Frieren.jpg,1920,1080,1316,728,14,4888,1515,30.9943,"{""14"": 984, ""28"": 376, ""56"": 155}"
LayerViT-full.drawio.png,16384,10470,1232,784,14,4928,1478,29.9919,"{""14"": 1068, ""28"": 225, ""56"": 185}"
apt.jpg,1536,672,1512,644,14,4968,1516,30.5153,"{""14"": 1180, ""28"": 141, ""56"": 195}"
bda105088cd89bf80e14c29c64218822.jpeg,4096,4096,980,980,14,4900,1495,30.5102,"{""14"": 1160, ""28"": 149, ""56"": 186}"
ss.jpg,3120,2080,1204,812,14,4988,1573,31.5357,"{""14"": 1160, ""28"": 229, ""56"": 184}"
test.jpeg,826,970,840,980,14,4200,1287,30.6429,"{""14"": 964, ""28"": 163, ""56"": 160}"
微信图片_20250924072509_19_243.jpg,3072,4096,840,1148,14,4920,1502,30.5285,"{""14"": 1132, ""28"": 179, ""56"": 191}"
微信图片_20250924100101_114_87.jpg,4096,3072,1148,840,14,4920,1520,30.8943,"{""14"": 1112, ""28"": 222, ""56"": 186}"
Frieren.jpg,1920,1080,1316,728,14,4888,1515,30.9943,"{""14"": 984, ""28"": 376, ""56"": 155}"
LayerViT-full.drawio.png,16384,10470,1232,784,14,4928,1478,29.9919,"{""14"": 1068, ""28"": 225, ""56"": 185}"
apt.jpg,1536,672,1512,644,14,4968,1516,30.5153,"{""14"": 1180, ""28"": 141, ""56"": 195}"
bda105088cd89bf80e14c29c64218822.jpeg,4096,4096,980,980,14,4900,1495,30.5102,"{""14"": 1160, ""28"": 149, ""56"": 186}"
ss.jpg,3120,2080,1204,812,14,4988,1573,31.5357,"{""14"": 1160, ""28"": 229, ""56"": 184}"
test.jpeg,826,970,840,980,14,4200,1287,30.6429,"{""14"": 964, ""28"": 163, ""56"": 160}"
微信图片_20250924072509_19_243.jpg,3072,4096,840,1148,14,4920,1502,30.5285,"{""14"": 1132, ""28"": 179, ""56"": 191}"
微信图片_20250924100101_114_87.jpg,4096,3072,1148,840,14,4920,1520,30.8943,"{""14"": 1112, ""28"": 222, ""56"": 186}"
微信图片_20251003145139_158_87.jpg,1080,1441,840,1148,14,4920,1508,30.6504,"{""14"": 1044, ""28"": 295, ""56"": 169}"
Botticelli-primavera.jpg,2560,1682,1232,812,14,5104,1559,30.5447,"{""14"": 1096, ""28"": 289, ""56"": 174}"
Frieren.jpg,1920,1080,1316,728,14,4888,1515,30.9943,"{""14"": 984, ""28"": 376, ""56"": 155}"
LayerViT-full.drawio.png,16384,10470,1232,784,14,4928,1478,29.9919,"{""14"": 1068, ""28"": 225, ""56"": 185}"
apt.jpg,1536,672,1512,644,14,4968,1516,30.5153,"{""14"": 1180, ""28"": 141, ""56"": 195}"
bda105088cd89bf80e14c29c64218822.jpeg,4096,4096,980,980,14,4900,1495,30.5102,"{""14"": 1160, ""28"": 149, ""56"": 186}"
ss.jpg,3120,2080,1204,812,14,4988,1573,31.5357,"{""14"": 1160, ""28"": 229, ""56"": 184}"
test.jpeg,826,970,840,980,14,4200,1287,30.6429,"{""14"": 964, ""28"": 163, ""56"": 160}"
微信图片_20250924072509_19_243.jpg,3072,4096,840,1148,14,4920,1502,30.5285,"{""14"": 1132, ""28"": 179, ""56"": 191}"
微信图片_20250924100101_114_87.jpg,4096,3072,1148,840,14,4920,1520,30.8943,"{""14"": 1112, ""28"": 222, ""56"": 186}"
微信图片_20251003145139_158_87.jpg,1080,1441,840,1148,14,4920,1508,30.6504,"{""14"": 1044, ""28"": 295, ""56"": 169}"
Botticelli-primavera.jpg,2560,1682,1232,812,14,5104,2065,40.4585,"{""14"": 1604, ""56"": 138, ""28"": 323, ""0"": 10812}"
Frieren.jpg,1920,1080,1316,728,14,4888,1831,37.4591,"{""14"": 1352, ""56"": 135, ""28"": 344, ""0"": 10584}"
LayerViT-full.drawio.png,16384,10470,1232,784,14,4928,1331,27.0089,"{""14"": 988, ""56"": 214, ""28"": 129, ""0"": 12292}"
apt.jpg,1536,672,1512,644,14,4968,2001,40.2778,"{""14"": 1620, ""56"": 152, ""28"": 229, ""0"": 10748}"
bda105088cd89bf80e14c29c64218822.jpeg,4096,4096,980,980,14,4900,2017,41.1633,"{""14"": 1728, ""56"": 168, ""28"": 121, ""0"": 10760}"
ss.jpg,3120,2080,1204,812,14,4988,1958,39.2542,"{""14"": 1620, ""56"": 168, ""28"": 170, ""0"": 11044}"
test.jpeg,826,970,840,980,14,4200,2073,49.3571,"{""14"": 1892, ""56"": 132, ""28"": 49, ""0"": 8620}"
微信图片_20250924072509_19_243.jpg,3072,4096,840,1148,14,4920,2523,51.2805,"{""14"": 2316, ""56"": 148, ""28"": 59, ""0"": 9892}"
微信图片_20250924100101_114_87.jpg,4096,3072,1148,840,14,4920,2169,44.0854,"{""14"": 1792, ""56"": 135, ""28"": 242, ""0"": 10208}"
微信图片_20251003145139_158_87.jpg,1080,1441,840,1148,14,4920,2343,47.622,"{""14"": 1996, ""56"": 128, ""28"": 219, ""0"": 9892}"
Botticelli-primavera.jpg,2560,1682,1232,812,14,5104,5104,100.0,"{""14"": 5104, ""56"": 0, ""28"": 0, ""0"": 5104}"
Frieren.jpg,1920,1080,1316,728,14,4888,4849,99.2021,"{""14"": 4836, ""56"": 0, ""28"": 13, ""0"": 4940}"
LayerViT-full.drawio.png,16384,10470,1232,784,14,4928,857,17.3904,"{""14"": 560, ""56"": 265, ""28"": 32, ""0"": 13536}"
apt.jpg,1536,672,1512,644,14,4968,4611,92.814,"{""14"": 4572, ""56"": 20, ""28"": 19, ""0"": 5684}"
bda105088cd89bf80e14c29c64218822.jpeg,4096,4096,980,980,14,4900,1954,39.8776,"{""14"": 1676, ""56"": 176, ""28"": 102, ""0"": 10940}"
ss.jpg,3120,2080,1204,812,14,4988,1211,24.2783,"{""14"": 912, ""56"": 240, ""28"": 59, ""0"": 12904}"
test.jpeg,826,970,840,980,14,4200,3243,77.2143,"{""14"": 3164, ""56"": 60, ""28"": 19, ""0"": 6196}"
微信图片_20250924072509_19_243.jpg,3072,4096,840,1148,14,4920,4464,90.7317,"{""14"": 4424, ""56"": 28, ""28"": 12, ""0"": 5864}"
微信图片_20250924100101_114_87.jpg,4096,3072,1148,840,14,4920,4827,98.1098,"{""14"": 4812, ""56"": 4, ""28"": 11, ""0"": 5092}"
微信图片_20251003145139_158_87.jpg,1080,1441,840,1148,14,4920,4188,85.122,"{""14"": 4076, ""56"": 33, ""28"": 79, ""0"": 6292}"
